GDP,Geography,Industry,Quarter
"4,427",Alabama,Accommodation and food services,2011 Q1
"1,162",Alaska,Accommodation and food services,2011 Q1
"8,409",Arizona,Accommodation and food services,2011 Q1
"2,523",Arkansas,Accommodation and food services,2011 Q1
"50,902",California,Accommodation and food services,2011 Q1
"8,193",Colorado,Accommodation and food services,2011 Q1
"4,255",Connecticut,Accommodation and food services,2011 Q1
"1,148",Delaware,Accommodation and food services,2011 Q1
"3,178",District of Columbia,Accommodation and food services,2011 Q1
"88,442",Far West,Accommodation and food services,2011 Q1
"30,401",Florida,Accommodation and food services,2011 Q1
"11,466",Georgia,Accommodation and food services,2011 Q1
"49,979",Great Lakes,Accommodation and food services,2011 Q1
"5,144",Hawaii,Accommodation and food services,2011 Q1
"1,425",Idaho,Accommodation and food services,2011 Q1
"16,511",Illinois,Accommodation and food services,2011 Q1
"6,273",Indiana,Accommodation and food services,2011 Q1
"2,945",Iowa,Accommodation and food services,2011 Q1
"3,060",Kansas,Accommodation and food services,2011 Q1
"4,477",Kentucky,Accommodation and food services,2011 Q1
"6,194",Louisiana,Accommodation and food services,2011 Q1
"1,730",Maine,Accommodation and food services,2011 Q1
"7,726",Maryland,Accommodation and food services,2011 Q1
"10,485",Massachusetts,Accommodation and food services,2011 Q1
"9,851",Michigan,Accommodation and food services,2011 Q1
"66,337",Mideast,Accommodation and food services,2011 Q1
"6,336",Minnesota,Accommodation and food services,2011 Q1
"3,604",Mississippi,Accommodation and food services,2011 Q1
"6,762",Missouri,Accommodation and food services,2011 Q1
"1,277",Montana,Accommodation and food services,2011 Q1
"1,943",Nebraska,Accommodation and food services,2011 Q1
"17,138",Nevada,Accommodation and food services,2011 Q1
"21,017",New England,Accommodation and food services,2011 Q1
"1,860",New Hampshire,Accommodation and food services,2011 Q1
"10,943",New Jersey,Accommodation and food services,2011 Q1
"2,286",New Mexico,Accommodation and food services,2011 Q1
"30,440",New York,Accommodation and food services,2011 Q1
"9,763",North Carolina,Accommodation and food services,2011 Q1
853,North Dakota,Accommodation and food services,2011 Q1
"11,474",Ohio,Accommodation and food services,2011 Q1
"3,632",Oklahoma,Accommodation and food services,2011 Q1
"4,391",Oregon,Accommodation and food services,2011 Q1
"12,902",Pennsylvania,Accommodation and food services,2011 Q1
"22,938",Plains,Accommodation and food services,2011 Q1
"1,518",Rhode Island,Accommodation and food services,2011 Q1
"14,806",Rocky Mountain,Accommodation and food services,2011 Q1
"5,916",South Carolina,Accommodation and food services,2011 Q1
"1,039",South Dakota,Accommodation and food services,2011 Q1
"98,893",Southeast,Accommodation and food services,2011 Q1
"46,382",Southwest,Accommodation and food services,2011 Q1
"8,126",Tennessee,Accommodation and food services,2011 Q1
"32,054",Texas,Accommodation and food services,2011 Q1
"408,794",United States,Accommodation and food services,2011 Q1
"2,881",Utah,Accommodation and food services,2011 Q1
"1,170",Vermont,Accommodation and food services,2011 Q1
"9,891",Virginia,Accommodation and food services,2011 Q1
"9,706",Washington,Accommodation and food services,2011 Q1
"2,105",West Virginia,Accommodation and food services,2011 Q1
"5,871",Wisconsin,Accommodation and food services,2011 Q1
"1,031",Wyoming,Accommodation and food services,2011 Q1
"4,697",Alabama,Administrative and waste management services,2011 Q1
965,Alaska,Administrative and waste management services,2011 Q1
"10,707",Arizona,Administrative and waste management services,2011 Q1
"2,604",Arkansas,Administrative and waste management services,2011 Q1
"59,580",California,Administrative and waste management services,2011 Q1
"7,891",Colorado,Administrative and waste management services,2011 Q1
"6,221",Connecticut,Administrative and waste management services,2011 Q1
"1,196",Delaware,Administrative and waste management services,2011 Q1
"2,919",District of Columbia,Administrative and waste management services,2011 Q1
"81,319",Far West,Administrative and waste management services,2011 Q1
"28,936",Florida,Administrative and waste management services,2011 Q1
"15,152",Georgia,Administrative and waste management services,2011 Q1
"66,279",Great Lakes,Administrative and waste management services,2011 Q1
"2,249",Hawaii,Administrative and waste management services,2011 Q1
"1,833",Idaho,Administrative and waste management services,2011 Q1
"21,616",Illinois,Administrative and waste management services,2011 Q1
"7,861",Indiana,Administrative and waste management services,2011 Q1
"3,076",Iowa,Administrative and waste management services,2011 Q1
"4,265",Kansas,Administrative and waste management services,2011 Q1
"4,251",Kentucky,Administrative and waste management services,2011 Q1
"5,396",Louisiana,Administrative and waste management services,2011 Q1
"1,508",Maine,Administrative and waste management services,2011 Q1
"9,347",Maryland,Administrative and waste management services,2011 Q1
"11,024",Massachusetts,Administrative and waste management services,2011 Q1
"14,189",Michigan,Administrative and waste management services,2011 Q1
"75,990",Mideast,Administrative and waste management services,2011 Q1
"7,033",Minnesota,Administrative and waste management services,2011 Q1
"2,411",Mississippi,Administrative and waste management services,2011 Q1
"7,515",Missouri,Administrative and waste management services,2011 Q1
897,Montana,Administrative and waste management services,2011 Q1
"2,074",Nebraska,Administrative and waste management services,2011 Q1
"3,702",Nevada,Administrative and waste management services,2011 Q1
"22,594",New England,Administrative and waste management services,2011 Q1
"1,979",New Hampshire,Administrative and waste management services,2011 Q1
"16,594",New Jersey,Administrative and waste management services,2011 Q1
"2,366",New Mexico,Administrative and waste management services,2011 Q1
"30,551",New York,Administrative and waste management services,2011 Q1
"12,877",North Carolina,Administrative and waste management services,2011 Q1
550,North Dakota,Administrative and waste management services,2011 Q1
"16,154",Ohio,Administrative and waste management services,2011 Q1
"4,671",Oklahoma,Administrative and waste management services,2011 Q1
"4,433",Oregon,Administrative and waste management services,2011 Q1
"15,383",Pennsylvania,Administrative and waste management services,2011 Q1
"25,152",Plains,Administrative and waste management services,2011 Q1
"1,318",Rhode Island,Administrative and waste management services,2011 Q1
"14,481",Rocky Mountain,Administrative and waste management services,2011 Q1
"7,387",South Carolina,Administrative and waste management services,2011 Q1
640,South Dakota,Administrative and waste management services,2011 Q1
"107,944",Southeast,Administrative and waste management services,2011 Q1
"58,480",Southwest,Administrative and waste management services,2011 Q1
"10,330",Tennessee,Administrative and waste management services,2011 Q1
"40,737",Texas,Administrative and waste management services,2011 Q1
"452,227",United States,Administrative and waste management services,2011 Q1
"3,445",Utah,Administrative and waste management services,2011 Q1
544,Vermont,Administrative and waste management services,2011 Q1
"12,440",Virginia,Administrative and waste management services,2011 Q1
"10,391",Washington,Administrative and waste management services,2011 Q1
"1,461",West Virginia,Administrative and waste management services,2011 Q1
"6,457",Wisconsin,Administrative and waste management services,2011 Q1
415,Wyoming,Administrative and waste management services,2011 Q1
