GDP,Geography,Industry,Quarter
"4,355",Alabama,Accommodation and food services,2005 Q1
"1,200",Alaska,Accommodation and food services,2005 Q1
"8,750",Arizona,Accommodation and food services,2005 Q1
"2,471",Arkansas,Accommodation and food services,2005 Q1
"53,273",California,Accommodation and food services,2005 Q1
"8,166",Colorado,Accommodation and food services,2005 Q1
"4,416",Connecticut,Accommodation and food services,2005 Q1
"1,192",Delaware,Accommodation and food services,2005 Q1
"3,149",District of Columbia,Accommodation and food services,2005 Q1
"92,114",Far West,Accommodation and food services,2005 Q1
"32,348",Florida,Accommodation and food services,2005 Q1
"12,300",Georgia,Accommodation and food services,2005 Q1
"53,421",Great Lakes,Accommodation and food services,2005 Q1
"5,560",Hawaii,Accommodation and food services,2005 Q1
"1,447",Idaho,Accommodation and food services,2005 Q1
"16,734",Illinois,Accommodation and food services,2005 Q1
"6,832",Indiana,Accommodation and food services,2005 Q1
"3,062",Iowa,Accommodation and food services,2005 Q1
"3,429",Kansas,Accommodation and food services,2005 Q1
"4,974",Kentucky,Accommodation and food services,2005 Q1
"5,986",Louisiana,Accommodation and food services,2005 Q1
"1,842",Maine,Accommodation and food services,2005 Q1
"7,795",Maryland,Accommodation and food services,2005 Q1
"10,467",Massachusetts,Accommodation and food services,2005 Q1
"10,746",Michigan,Accommodation and food services,2005 Q1
"65,234",Mideast,Accommodation and food services,2005 Q1
"6,661",Minnesota,Accommodation and food services,2005 Q1
"4,148",Mississippi,Accommodation and food services,2005 Q1
"7,305",Missouri,Accommodation and food services,2005 Q1
"1,240",Montana,Accommodation and food services,2005 Q1
"1,997",Nebraska,Accommodation and food services,2005 Q1
"18,555",Nevada,Accommodation and food services,2005 Q1
"21,742",New England,Accommodation and food services,2005 Q1
"2,105",New Hampshire,Accommodation and food services,2005 Q1
"12,350",New Jersey,Accommodation and food services,2005 Q1
"2,394",New Mexico,Accommodation and food services,2005 Q1
"27,420",New York,Accommodation and food services,2005 Q1
"9,728",North Carolina,Accommodation and food services,2005 Q1
767,North Dakota,Accommodation and food services,2005 Q1
"12,822",Ohio,Accommodation and food services,2005 Q1
"3,549",Oklahoma,Accommodation and food services,2005 Q1
"4,491",Oregon,Accommodation and food services,2005 Q1
"13,327",Pennsylvania,Accommodation and food services,2005 Q1
"24,230",Plains,Accommodation and food services,2005 Q1
"1,659",Rhode Island,Accommodation and food services,2005 Q1
"14,584",Rocky Mountain,Accommodation and food services,2005 Q1
"6,071",South Carolina,Accommodation and food services,2005 Q1
"1,012",South Dakota,Accommodation and food services,2005 Q1
"103,421",Southeast,Accommodation and food services,2005 Q1
"45,565",Southwest,Accommodation and food services,2005 Q1
"8,756",Tennessee,Accommodation and food services,2005 Q1
"30,870",Texas,Accommodation and food services,2005 Q1
"420,312",United States,Accommodation and food services,2005 Q1
"2,704",Utah,Accommodation and food services,2005 Q1
"1,249",Vermont,Accommodation and food services,2005 Q1
"10,308",Virginia,Accommodation and food services,2005 Q1
"9,012",Washington,Accommodation and food services,2005 Q1
"1,968",West Virginia,Accommodation and food services,2005 Q1
"6,295",Wisconsin,Accommodation and food services,2005 Q1
"1,028",Wyoming,Accommodation and food services,2005 Q1
"3,856",Alabama,Administrative and waste management services,2005 Q1
729,Alaska,Administrative and waste management services,2005 Q1
"10,101",Arizona,Administrative and waste management services,2005 Q1
"2,155",Arkansas,Administrative and waste management services,2005 Q1
"54,132",California,Administrative and waste management services,2005 Q1
"7,503",Colorado,Administrative and waste management services,2005 Q1
"5,535",Connecticut,Administrative and waste management services,2005 Q1
"1,064",Delaware,Administrative and waste management services,2005 Q1
"2,328",District of Columbia,Administrative and waste management services,2005 Q1
"73,240",Far West,Administrative and waste management services,2005 Q1
"34,302",Florida,Administrative and waste management services,2005 Q1
"13,620",Georgia,Administrative and waste management services,2005 Q1
"61,585",Great Lakes,Administrative and waste management services,2005 Q1
"1,774",Hawaii,Administrative and waste management services,2005 Q1
"1,727",Idaho,Administrative and waste management services,2005 Q1
"19,722",Illinois,Administrative and waste management services,2005 Q1
"6,817",Indiana,Administrative and waste management services,2005 Q1
"2,486",Iowa,Administrative and waste management services,2005 Q1
"3,215",Kansas,Administrative and waste management services,2005 Q1
"3,708",Kentucky,Administrative and waste management services,2005 Q1
"4,029",Louisiana,Administrative and waste management services,2005 Q1
"1,091",Maine,Administrative and waste management services,2005 Q1
"8,495",Maryland,Administrative and waste management services,2005 Q1
"9,865",Massachusetts,Administrative and waste management services,2005 Q1
"15,013",Michigan,Administrative and waste management services,2005 Q1
"69,090",Mideast,Administrative and waste management services,2005 Q1
"6,045",Minnesota,Administrative and waste management services,2005 Q1
"1,736",Mississippi,Administrative and waste management services,2005 Q1
"6,566",Missouri,Administrative and waste management services,2005 Q1
627,Montana,Administrative and waste management services,2005 Q1
"1,925",Nebraska,Administrative and waste management services,2005 Q1
"3,744",Nevada,Administrative and waste management services,2005 Q1
"19,665",New England,Administrative and waste management services,2005 Q1
"1,497",New Hampshire,Administrative and waste management services,2005 Q1
"15,250",New Jersey,Administrative and waste management services,2005 Q1
"2,032",New Mexico,Administrative and waste management services,2005 Q1
"28,387",New York,Administrative and waste management services,2005 Q1
"9,875",North Carolina,Administrative and waste management services,2005 Q1
417,North Dakota,Administrative and waste management services,2005 Q1
"14,732",Ohio,Administrative and waste management services,2005 Q1
"4,103",Oklahoma,Administrative and waste management services,2005 Q1
"4,225",Oregon,Administrative and waste management services,2005 Q1
"13,567",Pennsylvania,Administrative and waste management services,2005 Q1
"21,236",Plains,Administrative and waste management services,2005 Q1
"1,207",Rhode Island,Administrative and waste management services,2005 Q1
"12,868",Rocky Mountain,Administrative and waste management services,2005 Q1
"6,032",South Carolina,Administrative and waste management services,2005 Q1
583,South Dakota,Administrative and waste management services,2005 Q1
"100,476",Southeast,Administrative and waste management services,2005 Q1
"47,480",Southwest,Administrative and waste management services,2005 Q1
"10,151",Tennessee,Administrative and waste management services,2005 Q1
"31,244",Texas,Administrative and waste management services,2005 Q1
"405,650",United States,Administrative and waste management services,2005 Q1
"2,702",Utah,Administrative and waste management services,2005 Q1
471,Vermont,Administrative and waste management services,2005 Q1
"9,873",Virginia,Administrative and waste management services,2005 Q1
"8,634",Washington,Administrative and waste management services,2005 Q1
"1,134",West Virginia,Administrative and waste management services,2005 Q1
"5,301",Wisconsin,Administrative and waste management services,2005 Q1
308,Wyoming,Administrative and waste management services,2005 Q1
"2,651",Alabama,"Agriculture, forestry, fishing, and hunting",2005 Q1
210,Alaska,"Agriculture, forestry, fishing, and hunting",2005 Q1
"2,107",Arizona,"Agriculture, forestry, fishing, and hunting",2005 Q1
"2,743",Arkansas,"Agriculture, forestry, fishing, and hunting",2005 Q1
"24,883",California,"Agriculture, forestry, fishing, and hunting",2005 Q1
"2,121",Colorado,"Agriculture, forestry, fishing, and hunting",2005 Q1
352,Connecticut,"Agriculture, forestry, fishing, and hunting",2005 Q1
399,Delaware,"Agriculture, forestry, fishing, and hunting",2005 Q1
2,District of Columbia,"Agriculture, forestry, fishing, and hunting",2005 Q1
"33,846",Far West,"Agriculture, forestry, fishing, and hunting",2005 Q1
"6,332",Florida,"Agriculture, forestry, fishing, and hunting",2005 Q1
"3,599",Georgia,"Agriculture, forestry, fishing, and hunting",2005 Q1
