GDP,Geography,Industry,Quarter
"4,220",Alabama,Accommodation and food services,2009 Q1
"1,122",Alaska,Accommodation and food services,2009 Q1
"8,321",Arizona,Accommodation and food services,2009 Q1
"2,441",Arkansas,Accommodation and food services,2009 Q1
"48,391",California,Accommodation and food services,2009 Q1
"7,776",Colorado,Accommodation and food services,2009 Q1
"4,141",Connecticut,Accommodation and food services,2009 Q1
"1,074",Delaware,Accommodation and food services,2009 Q1
"2,909",District of Columbia,Accommodation and food services,2009 Q1
"83,333",Far West,Accommodation and food services,2009 Q1
"28,619",Florida,Accommodation and food services,2009 Q1
"11,107",Georgia,Accommodation and food services,2009 Q1
"48,761",Great Lakes,Accommodation and food services,2009 Q1
"4,570",Hawaii,Accommodation and food services,2009 Q1
"1,383",Idaho,Accommodation and food services,2009 Q1
"16,274",Illinois,Accommodation and food services,2009 Q1
"6,087",Indiana,Accommodation and food services,2009 Q1
"2,916",Iowa,Accommodation and food services,2009 Q1
"2,942",Kansas,Accommodation and food services,2009 Q1
"4,315",Kentucky,Accommodation and food services,2009 Q1
"5,847",Louisiana,Accommodation and food services,2009 Q1
"1,652",Maine,Accommodation and food services,2009 Q1
"7,343",Maryland,Accommodation and food services,2009 Q1
"9,530",Massachusetts,Accommodation and food services,2009 Q1
"9,524",Michigan,Accommodation and food services,2009 Q1
"61,088",Mideast,Accommodation and food services,2009 Q1
"6,027",Minnesota,Accommodation and food services,2009 Q1
"3,526",Mississippi,Accommodation and food services,2009 Q1
"6,642",Missouri,Accommodation and food services,2009 Q1
"1,194",Montana,Accommodation and food services,2009 Q1
"1,819",Nebraska,Accommodation and food services,2009 Q1
"16,438",Nevada,Accommodation and food services,2009 Q1
"19,663",New England,Accommodation and food services,2009 Q1
"1,820",New Hampshire,Accommodation and food services,2009 Q1
"10,750",New Jersey,Accommodation and food services,2009 Q1
"2,331",New Mexico,Accommodation and food services,2009 Q1
"26,937",New York,Accommodation and food services,2009 Q1
"9,286",North Carolina,Accommodation and food services,2009 Q1
761,North Dakota,Accommodation and food services,2009 Q1
"11,121",Ohio,Accommodation and food services,2009 Q1
"3,555",Oklahoma,Accommodation and food services,2009 Q1
"4,178",Oregon,Accommodation and food services,2009 Q1
"12,076",Pennsylvania,Accommodation and food services,2009 Q1
"22,055",Plains,Accommodation and food services,2009 Q1
"1,420",Rhode Island,Accommodation and food services,2009 Q1
"14,204",Rocky Mountain,Accommodation and food services,2009 Q1
"5,742",South Carolina,Accommodation and food services,2009 Q1
949,South Dakota,Accommodation and food services,2009 Q1
"94,371",Southeast,Accommodation and food services,2009 Q1
"44,609",Southwest,Accommodation and food services,2009 Q1
"7,874",Tennessee,Accommodation and food services,2009 Q1
"30,402",Texas,Accommodation and food services,2009 Q1
"388,076",United States,Accommodation and food services,2009 Q1
"2,773",Utah,Accommodation and food services,2009 Q1
"1,101",Vermont,Accommodation and food services,2009 Q1
"9,530",Virginia,Accommodation and food services,2009 Q1
"8,638",Washington,Accommodation and food services,2009 Q1
"1,865",West Virginia,Accommodation and food services,2009 Q1
"5,755",Wisconsin,Accommodation and food services,2009 Q1
"1,078",Wyoming,Accommodation and food services,2009 Q1
"4,067",Alabama,Administrative and waste management services,2009 Q1
910,Alaska,Administrative and waste management services,2009 Q1
"10,697",Arizona,Administrative and waste management services,2009 Q1
"2,254",Arkansas,Administrative and waste management services,2009 Q1
"55,235",California,Administrative and waste management services,2009 Q1
"7,676",Colorado,Administrative and waste management services,2009 Q1
"5,868",Connecticut,Administrative and waste management services,2009 Q1
"1,114",Delaware,Administrative and waste management services,2009 Q1
"2,548",District of Columbia,Administrative and waste management services,2009 Q1
"75,604",Far West,Administrative and waste management services,2009 Q1
"29,081",Florida,Administrative and waste management services,2009 Q1
"13,841",Georgia,Administrative and waste management services,2009 Q1
"60,273",Great Lakes,Administrative and waste management services,2009 Q1
"2,033",Hawaii,Administrative and waste management services,2009 Q1
"1,816",Idaho,Administrative and waste management services,2009 Q1
"20,001",Illinois,Administrative and waste management services,2009 Q1
"6,778",Indiana,Administrative and waste management services,2009 Q1
"2,848",Iowa,Administrative and waste management services,2009 Q1
"3,678",Kansas,Administrative and waste management services,2009 Q1
"3,598",Kentucky,Administrative and waste management services,2009 Q1
"5,101",Louisiana,Administrative and waste management services,2009 Q1
"1,358",Maine,Administrative and waste management services,2009 Q1
"8,681",Maryland,Administrative and waste management services,2009 Q1
"10,001",Massachusetts,Administrative and waste management services,2009 Q1
"13,080",Michigan,Administrative and waste management services,2009 Q1
"69,552",Mideast,Administrative and waste management services,2009 Q1
"6,217",Minnesota,Administrative and waste management services,2009 Q1
"2,073",Mississippi,Administrative and waste management services,2009 Q1
"7,126",Missouri,Administrative and waste management services,2009 Q1
790,Montana,Administrative and waste management services,2009 Q1
"2,049",Nebraska,Administrative and waste management services,2009 Q1
"3,551",Nevada,Administrative and waste management services,2009 Q1
"20,757",New England,Administrative and waste management services,2009 Q1
"1,841",New Hampshire,Administrative and waste management services,2009 Q1
"15,107",New Jersey,Administrative and waste management services,2009 Q1
"2,274",New Mexico,Administrative and waste management services,2009 Q1
"28,239",New York,Administrative and waste management services,2009 Q1
"10,945",North Carolina,Administrative and waste management services,2009 Q1
483,North Dakota,Administrative and waste management services,2009 Q1
"14,823",Ohio,Administrative and waste management services,2009 Q1
"4,637",Oklahoma,Administrative and waste management services,2009 Q1
"4,404",Oregon,Administrative and waste management services,2009 Q1
"13,864",Pennsylvania,Administrative and waste management services,2009 Q1
"22,997",Plains,Administrative and waste management services,2009 Q1
"1,192",Rhode Island,Administrative and waste management services,2009 Q1
"13,891",Rocky Mountain,Administrative and waste management services,2009 Q1
"6,075",South Carolina,Administrative and waste management services,2009 Q1
595,South Dakota,Administrative and waste management services,2009 Q1
"99,039",Southeast,Administrative and waste management services,2009 Q1
"54,959",Southwest,Administrative and waste management services,2009 Q1
"9,587",Tennessee,Administrative and waste management services,2009 Q1
"37,350",Texas,Administrative and waste management services,2009 Q1
"417,064",United States,Administrative and waste management services,2009 Q1
"3,187",Utah,Administrative and waste management services,2009 Q1
496,Vermont,Administrative and waste management services,2009 Q1
"11,102",Virginia,Administrative and waste management services,2009 Q1
"9,470",Washington,Administrative and waste management services,2009 Q1
"1,316",West Virginia,Administrative and waste management services,2009 Q1
"5,592",Wisconsin,Administrative and waste management services,2009 Q1
422,Wyoming,Administrative and waste management services,2009 Q1
"2,281",Alabama,"Agriculture, forestry, fishing, and hunting",2009 Q1
331,Alaska,"Agriculture, forestry, fishing, and hunting",2009 Q1
"1,207",Arizona,"Agriculture, forestry, fishing, and hunting",2009 Q1
"2,343",Arkansas,"Agriculture, forestry, fishing, and hunting",2009 Q1
"27,316",California,"Agriculture, forestry, fishing, and hunting",2009 Q1
"1,757",Colorado,"Agriculture, forestry, fishing, and hunting",2009 Q1
277,Connecticut,"Agriculture, forestry, fishing, and hunting",2009 Q1
,Delaware,"Agriculture, forestry, fishing, and hunting",2009 Q1
2,District of Columbia,"Agriculture, forestry, fishing, and hunting",2009 Q1
"37,418",Far West,"Agriculture, forestry, fishing, and hunting",2009 Q1
"6,199",Florida,"Agriculture, forestry, fishing, and hunting",2009 Q1
"3,333",Georgia,"Agriculture, forestry, fishing, and hunting",2009 Q1
