GDP,Geography,Industry,Quarter
"4,398",Alabama,Accommodation and food services,2007 Q1
"1,211",Alaska,Accommodation and food services,2007 Q1
"9,739",Arizona,Accommodation and food services,2007 Q1
"2,564",Arkansas,Accommodation and food services,2007 Q1
"55,217",California,Accommodation and food services,2007 Q1
"8,523",Colorado,Accommodation and food services,2007 Q1
"4,558",Connecticut,Accommodation and food services,2007 Q1
"1,213",Delaware,Accommodation and food services,2007 Q1
"3,144",District of Columbia,Accommodation and food services,2007 Q1
"96,649",Far West,Accommodation and food services,2007 Q1
"33,061",Florida,Accommodation and food services,2007 Q1
"12,650",Georgia,Accommodation and food services,2007 Q1
"54,297",Great Lakes,Accommodation and food services,2007 Q1
"5,657",Hawaii,Accommodation and food services,2007 Q1
"1,546",Idaho,Accommodation and food services,2007 Q1
"17,798",Illinois,Accommodation and food services,2007 Q1
"6,736",Indiana,Accommodation and food services,2007 Q1
"3,009",Iowa,Accommodation and food services,2007 Q1
"3,222",Kansas,Accommodation and food services,2007 Q1
"4,777",Kentucky,Accommodation and food services,2007 Q1
"5,774",Louisiana,Accommodation and food services,2007 Q1
"1,845",Maine,Accommodation and food services,2007 Q1
"8,090",Maryland,Accommodation and food services,2007 Q1
"10,454",Massachusetts,Accommodation and food services,2007 Q1
"10,816",Michigan,Accommodation and food services,2007 Q1
"68,012",Mideast,Accommodation and food services,2007 Q1
"6,727",Minnesota,Accommodation and food services,2007 Q1
"3,847",Mississippi,Accommodation and food services,2007 Q1
"7,321",Missouri,Accommodation and food services,2007 Q1
"1,279",Montana,Accommodation and food services,2007 Q1
"1,918",Nebraska,Accommodation and food services,2007 Q1
"20,180",Nevada,Accommodation and food services,2007 Q1
"21,725",New England,Accommodation and food services,2007 Q1
"2,019",New Hampshire,Accommodation and food services,2007 Q1
"12,362",New Jersey,Accommodation and food services,2007 Q1
"2,462",New Mexico,Accommodation and food services,2007 Q1
"29,588",New York,Accommodation and food services,2007 Q1
"10,166",North Carolina,Accommodation and food services,2007 Q1
762,North Dakota,Accommodation and food services,2007 Q1
"12,647",Ohio,Accommodation and food services,2007 Q1
"3,617",Oklahoma,Accommodation and food services,2007 Q1
"4,658",Oregon,Accommodation and food services,2007 Q1
"13,616",Pennsylvania,Accommodation and food services,2007 Q1
"23,975",Plains,Accommodation and food services,2007 Q1
"1,655",Rhode Island,Accommodation and food services,2007 Q1
"15,458",Rocky Mountain,Accommodation and food services,2007 Q1
"6,348",South Carolina,Accommodation and food services,2007 Q1
"1,018",South Dakota,Accommodation and food services,2007 Q1
"105,010",Southeast,Accommodation and food services,2007 Q1
"47,815",Southwest,Accommodation and food services,2007 Q1
"8,928",Tennessee,Accommodation and food services,2007 Q1
"31,988",Texas,Accommodation and food services,2007 Q1
"432,967",United States,Accommodation and food services,2007 Q1
"2,965",Utah,Accommodation and food services,2007 Q1
"1,195",Vermont,Accommodation and food services,2007 Q1
"10,577",Virginia,Accommodation and food services,2007 Q1
"9,669",Washington,Accommodation and food services,2007 Q1
"1,916",West Virginia,Accommodation and food services,2007 Q1
"6,302",Wisconsin,Accommodation and food services,2007 Q1
"1,145",Wyoming,Accommodation and food services,2007 Q1
"4,106",Alabama,Administrative and waste management services,2007 Q1
773,Alaska,Administrative and waste management services,2007 Q1
"11,388",Arizona,Administrative and waste management services,2007 Q1
"2,192",Arkansas,Administrative and waste management services,2007 Q1
"57,622",California,Administrative and waste management services,2007 Q1
"7,603",Colorado,Administrative and waste management services,2007 Q1
"5,907",Connecticut,Administrative and waste management services,2007 Q1
"1,195",Delaware,Administrative and waste management services,2007 Q1
"2,522",District of Columbia,Administrative and waste management services,2007 Q1
"77,925",Far West,Administrative and waste management services,2007 Q1
"34,000",Florida,Administrative and waste management services,2007 Q1
"14,250",Georgia,Administrative and waste management services,2007 Q1
"62,231",Great Lakes,Administrative and waste management services,2007 Q1
"1,986",Hawaii,Administrative and waste management services,2007 Q1
"1,765",Idaho,Administrative and waste management services,2007 Q1
"20,392",Illinois,Administrative and waste management services,2007 Q1
"6,914",Indiana,Administrative and waste management services,2007 Q1
"2,607",Iowa,Administrative and waste management services,2007 Q1
"3,557",Kansas,Administrative and waste management services,2007 Q1
"3,811",Kentucky,Administrative and waste management services,2007 Q1
"4,937",Louisiana,Administrative and waste management services,2007 Q1
"1,203",Maine,Administrative and waste management services,2007 Q1
"8,619",Maryland,Administrative and waste management services,2007 Q1
"10,696",Massachusetts,Administrative and waste management services,2007 Q1
