GDP,Geography,Industry,Quarter
"4,438",Alabama,Accommodation and food services,2012 Q1
"1,186",Alaska,Accommodation and food services,2012 Q1
"8,626",Arizona,Accommodation and food services,2012 Q1
"2,579",Arkansas,Accommodation and food services,2012 Q1
"51,808",California,Accommodation and food services,2012 Q1
"8,425",Colorado,Accommodation and food services,2012 Q1
"4,709",Connecticut,Accommodation and food services,2012 Q1
"1,173",Delaware,Accommodation and food services,2012 Q1
"3,298",District of Columbia,Accommodation and food services,2012 Q1
"90,533",Far West,Accommodation and food services,2012 Q1
"31,888",Florida,Accommodation and food services,2012 Q1
"11,938",Georgia,Accommodation and food services,2012 Q1
"51,811",Great Lakes,Accommodation and food services,2012 Q1
"5,444",Hawaii,Accommodation and food services,2012 Q1
"1,461",Idaho,Accommodation and food services,2012 Q1
"17,065",Illinois,Accommodation and food services,2012 Q1
"6,686",Indiana,Accommodation and food services,2012 Q1
"3,074",Iowa,Accommodation and food services,2012 Q1
"3,189",Kansas,Accommodation and food services,2012 Q1
"4,597",Kentucky,Accommodation and food services,2012 Q1
"6,356",Louisiana,Accommodation and food services,2012 Q1
"1,761",Maine,Accommodation and food services,2012 Q1
"8,071",Maryland,Accommodation and food services,2012 Q1
"10,977",Massachusetts,Accommodation and food services,2012 Q1
"10,155",Michigan,Accommodation and food services,2012 Q1
"70,199",Mideast,Accommodation and food services,2012 Q1
"6,541",Minnesota,Accommodation and food services,2012 Q1
"3,709",Mississippi,Accommodation and food services,2012 Q1
"6,797",Missouri,Accommodation and food services,2012 Q1
"1,319",Montana,Accommodation and food services,2012 Q1
"1,966",Nebraska,Accommodation and food services,2012 Q1
"17,275",Nevada,Accommodation and food services,2012 Q1
"22,172",New England,Accommodation and food services,2012 Q1
"1,930",New Hampshire,Accommodation and food services,2012 Q1
"11,101",New Jersey,Accommodation and food services,2012 Q1
"2,335",New Mexico,Accommodation and food services,2012 Q1
"33,162",New York,Accommodation and food services,2012 Q1
"10,173",North Carolina,Accommodation and food services,2012 Q1
"1,023",North Dakota,Accommodation and food services,2012 Q1
"11,921",Ohio,Accommodation and food services,2012 Q1
"3,883",Oklahoma,Accommodation and food services,2012 Q1
"4,578",Oregon,Accommodation and food services,2012 Q1
"13,394",Pennsylvania,Accommodation and food services,2012 Q1
"23,664",Plains,Accommodation and food services,2012 Q1
"1,594",Rhode Island,Accommodation and food services,2012 Q1
"15,306",Rocky Mountain,Accommodation and food services,2012 Q1
"6,137",South Carolina,Accommodation and food services,2012 Q1
"1,073",South Dakota,Accommodation and food services,2012 Q1
"102,535",Southeast,Accommodation and food services,2012 Q1
"47,990",Southwest,Accommodation and food services,2012 Q1
"8,482",Tennessee,Accommodation and food services,2012 Q1
"33,146",Texas,Accommodation and food services,2012 Q1
"424,206",United States,Accommodation and food services,2012 Q1
"3,006",Utah,Accommodation and food services,2012 Q1
"1,201",Vermont,Accommodation and food services,2012 Q1
"10,096",Virginia,Accommodation and food services,2012 Q1
"10,244",Washington,Accommodation and food services,2012 Q1
"2,142",West Virginia,Accommodation and food services,2012 Q1
"5,984",Wisconsin,Accommodation and food services,2012 Q1
"1,094",Wyoming,Accommodation and food services,2012 Q1
"4,876",Alabama,Administrative and waste management services,2012 Q1
"1,039",Alaska,Administrative and waste management services,2012 Q1
"11,152",Arizona,Administrative and waste management services,2012 Q1
"2,559",Arkansas,Administrative and waste management services,2012 Q1
"63,277",California,Administrative and waste management services,2012 Q1
"8,436",Colorado,Administrative and waste management services,2012 Q1
"6,573",Connecticut,Administrative and waste management services,2012 Q1
"1,262",Delaware,Administrative and waste management services,2012 Q1
"3,097",District of Columbia,Administrative and waste management services,2012 Q1
"85,754",Far West,Administrative and waste management services,2012 Q1
"30,095",Florida,Administrative and waste management services,2012 Q1
"15,574",Georgia,Administrative and waste management services,2012 Q1
"69,664",Great Lakes,Administrative and waste management services,2012 Q1
"2,355",Hawaii,Administrative and waste management services,2012 Q1
"1,793",Idaho,Administrative and waste management services,2012 Q1
"22,903",Illinois,Administrative and waste management services,2012 Q1
"8,333",Indiana,Administrative and waste management services,2012 Q1
"3,295",Iowa,Administrative and waste management services,2012 Q1
"4,614",Kansas,Administrative and waste management services,2012 Q1
"4,666",Kentucky,Administrative and waste management services,2012 Q1
"5,272",Louisiana,Administrative and waste management services,2012 Q1
"1,490",Maine,Administrative and waste management services,2012 Q1
"9,994",Maryland,Administrative and waste management services,2012 Q1
"11,631",Massachusetts,Administrative and waste management services,2012 Q1
"14,985",Michigan,Administrative and waste management services,2012 Q1
"80,766",Mideast,Administrative and waste management services,2012 Q1
"7,098",Minnesota,Administrative and waste management services,2012 Q1
"2,513",Mississippi,Administrative and waste management services,2012 Q1
"7,742",Missouri,Administrative and waste management services,2012 Q1
969,Montana,Administrative and waste management services,2012 Q1
"2,230",Nebraska,Administrative and waste management services,2012 Q1
"3,859",Nevada,Administrative and waste management services,2012 Q1
"23,754",New England,Administrative and waste management services,2012 Q1
"2,099",New Hampshire,Administrative and waste management services,2012 Q1
