GDP,Geography,Industry,Quarter
"4,252",Alabama,Accommodation and food services,2010 Q1
"1,105",Alaska,Accommodation and food services,2010 Q1
"8,020",Arizona,Accommodation and food services,2010 Q1
"2,443",Arkansas,Accommodation and food services,2010 Q1
"47,615",California,Accommodation and food services,2010 Q1
"7,764",Colorado,Accommodation and food services,2010 Q1
"4,101",Connecticut,Accommodation and food services,2010 Q1
"1,128",Delaware,Accommodation and food services,2010 Q1
"2,910",District of Columbia,Accommodation and food services,2010 Q1
"82,717",Far West,Accommodation and food services,2010 Q1
"28,677",Florida,Accommodation and food services,2010 Q1
"11,048",Georgia,Accommodation and food services,2010 Q1
"48,278",Great Lakes,Accommodation and food services,2010 Q1
"4,627",Hawaii,Accommodation and food services,2010 Q1
"1,374",Idaho,Accommodation and food services,2010 Q1
"15,781",Illinois,Accommodation and food services,2010 Q1
"6,096",Indiana,Accommodation and food services,2010 Q1
"2,860",Iowa,Accommodation and food services,2010 Q1
"2,940",Kansas,Accommodation and food services,2010 Q1
"4,328",Kentucky,Accommodation and food services,2010 Q1
"6,009",Louisiana,Accommodation and food services,2010 Q1
"1,676",Maine,Accommodation and food services,2010 Q1
"7,305",Maryland,Accommodation and food services,2010 Q1
"9,843",Massachusetts,Accommodation and food services,2010 Q1
"9,587",Michigan,Accommodation and food services,2010 Q1
"62,076",Mideast,Accommodation and food services,2010 Q1
"6,056",Minnesota,Accommodation and food services,2010 Q1
"3,493",Mississippi,Accommodation and food services,2010 Q1
"6,692",Missouri,Accommodation and food services,2010 Q1
"1,196",Montana,Accommodation and food services,2010 Q1
"1,853",Nebraska,Accommodation and food services,2010 Q1
"16,298",Nevada,Accommodation and food services,2010 Q1
"19,967",New England,Accommodation and food services,2010 Q1
"1,780",New Hampshire,Accommodation and food services,2010 Q1
"10,590",New Jersey,Accommodation and food services,2010 Q1
"2,282",New Mexico,Accommodation and food services,2010 Q1
"27,979",New York,Accommodation and food services,2010 Q1
"9,403",North Carolina,Accommodation and food services,2010 Q1
774,North Dakota,Accommodation and food services,2010 Q1
"11,083",Ohio,Accommodation and food services,2010 Q1
"3,533",Oklahoma,Accommodation and food services,2010 Q1
"4,239",Oregon,Accommodation and food services,2010 Q1
"12,164",Pennsylvania,Accommodation and food services,2010 Q1
"22,166",Plains,Accommodation and food services,2010 Q1
"1,462",Rhode Island,Accommodation and food services,2010 Q1
"14,086",Rocky Mountain,Accommodation and food services,2010 Q1
"5,734",South Carolina,Accommodation and food services,2010 Q1
991,South Dakota,Accommodation and food services,2010 Q1
"94,398",Southeast,Accommodation and food services,2010 Q1
"44,290",Southwest,Accommodation and food services,2010 Q1
"7,772",Tennessee,Accommodation and food services,2010 Q1
"30,455",Texas,Accommodation and food services,2010 Q1
"387,976",United States,Accommodation and food services,2010 Q1
"2,741",Utah,Accommodation and food services,2010 Q1
