GDP,Geography,Industry,Quarter
"4,787",Alabama,Accommodation and food services,2013 Q1
"1,212",Alaska,Accommodation and food services,2013 Q1
"8,638",Arizona,Accommodation and food services,2013 Q1
"2,588",Arkansas,Accommodation and food services,2013 Q1
"53,245",California,Accommodation and food services,2013 Q1
"8,650",Colorado,Accommodation and food services,2013 Q1
"4,837",Connecticut,Accommodation and food services,2013 Q1
"1,164",Delaware,Accommodation and food services,2013 Q1
"3,466",District of Columbia,Accommodation and food services,2013 Q1
"92,206",Far West,Accommodation and food services,2013 Q1
"32,749",Florida,Accommodation and food services,2013 Q1
"11,963",Georgia,Accommodation and food services,2013 Q1
"52,846",Great Lakes,Accommodation and food services,2013 Q1
"5,824",Hawaii,Accommodation and food services,2013 Q1
"1,418",Idaho,Accommodation and food services,2013 Q1
"17,254",Illinois,Accommodation and food services,2013 Q1
"6,672",Indiana,Accommodation and food services,2013 Q1
"3,253",Iowa,Accommodation and food services,2013 Q1
"3,164",Kansas,Accommodation and food services,2013 Q1
"4,556",Kentucky,Accommodation and food services,2013 Q1
"6,369",Louisiana,Accommodation and food services,2013 Q1
"1,796",Maine,Accommodation and food services,2013 Q1
"8,263",Maryland,Accommodation and food services,2013 Q1
"11,159",Massachusetts,Accommodation and food services,2013 Q1
"10,696",Michigan,Accommodation and food services,2013 Q1
"69,826",Mideast,Accommodation and food services,2013 Q1
"6,741",Minnesota,Accommodation and food services,2013 Q1
"3,654",Mississippi,Accommodation and food services,2013 Q1
"6,826",Missouri,Accommodation and food services,2013 Q1
"1,379",Montana,Accommodation and food services,2013 Q1
"1,952",Nebraska,Accommodation and food services,2013 Q1
"17,441",Nevada,Accommodation and food services,2013 Q1
"22,667",New England,Accommodation and food services,2013 Q1
"1,983",New Hampshire,Accommodation and food services,2013 Q1
"11,447",New Jersey,Accommodation and food services,2013 Q1
"2,371",New Mexico,Accommodation and food services,2013 Q1
"31,780",New York,Accommodation and food services,2013 Q1
"10,205",North Carolina,Accommodation and food services,2013 Q1
"1,101",North Dakota,Accommodation and food services,2013 Q1
"12,137",Ohio,Accommodation and food services,2013 Q1
"3,943",Oklahoma,Accommodation and food services,2013 Q1
"4,710",Oregon,Accommodation and food services,2013 Q1
"13,706",Pennsylvania,Accommodation and food services,2013 Q1
"24,128",Plains,Accommodation and food services,2013 Q1
"1,605",Rhode Island,Accommodation and food services,2013 Q1
"15,738",Rocky Mountain,Accommodation and food services,2013 Q1
"6,335",South Carolina,Accommodation and food services,2013 Q1
"1,091",South Dakota,Accommodation and food services,2013 Q1
"103,877",Southeast,Accommodation and food services,2013 Q1
"51,345",Southwest,Accommodation and food services,2013 Q1
"8,325",Tennessee,Accommodation and food services,2013 Q1
"36,393",Texas,Accommodation and food services,2013 Q1
"432,629",United States,Accommodation and food services,2013 Q1
"3,106",Utah,Accommodation and food services,2013 Q1
"1,286",Vermont,Accommodation and food services,2013 Q1
"10,226",Virginia,Accommodation and food services,2013 Q1
"9,776",Washington,Accommodation and food services,2013 Q1
"2,123",West Virginia,Accommodation and food services,2013 Q1
"6,086",Wisconsin,Accommodation and food services,2013 Q1
"1,186",Wyoming,Accommodation and food services,2013 Q1
"4,738",Alabama,Administrative and waste management services,2013 Q1
"1,062",Alaska,Administrative and waste management services,2013 Q1
"11,368",Arizona,Administrative and waste management services,2013 Q1
"2,551",Arkansas,Administrative and waste management services,2013 Q1
"63,448",California,Administrative and waste management services,2013 Q1
"8,242",Colorado,Administrative and waste management services,2013 Q1
"6,331",Connecticut,Administrative and waste management services,2013 Q1
"1,279",Delaware,Administrative and waste management services,2013 Q1
"3,033",District of Columbia,Administrative and waste management services,2013 Q1
"86,114",Far West,Administrative and waste management services,2013 Q1
"30,026",Florida,Administrative and waste management services,2013 Q1
"15,922",Georgia,Administrative and waste management services,2013 Q1
"69,077",Great Lakes,Administrative and waste management services,2013 Q1
"2,431",Hawaii,Administrative and waste management services,2013 Q1
"1,811",Idaho,Administrative and waste management services,2013 Q1
"22,640",Illinois,Administrative and waste management services,2013 Q1
"8,261",Indiana,Administrative and waste management services,2013 Q1
"3,225",Iowa,Administrative and waste management services,2013 Q1
"4,589",Kansas,Administrative and waste management services,2013 Q1
"4,762",Kentucky,Administrative and waste management services,2013 Q1
"5,474",Louisiana,Administrative and waste management services,2013 Q1
"1,514",Maine,Administrative and waste management services,2013 Q1
"10,057",Maryland,Administrative and waste management services,2013 Q1
"11,445",Massachusetts,Administrative and waste management services,2013 Q1
"14,703",Michigan,Administrative and waste management services,2013 Q1
"79,356",Mideast,Administrative and waste management services,2013 Q1
"6,902",Minnesota,Administrative and waste management services,2013 Q1
"2,655",Mississippi,Administrative and waste management services,2013 Q1
"7,718",Missouri,Administrative and waste management services,2013 Q1
851,Montana,Administrative and waste management services,2013 Q1
"2,330",Nebraska,Administrative and waste management services,2013 Q1
"3,811",Nevada,Administrative and waste management services,2013 Q1
"23,386",New England,Administrative and waste management services,2013 Q1
"2,050",New Hampshire,Administrative and waste management services,2013 Q1
"18,190",New Jersey,Administrative and waste management services,2013 Q1
"2,304",New Mexico,Administrative and waste management services,2013 Q1
"30,937",New York,Administrative and waste management services,2013 Q1
"13,543",North Carolina,Administrative and waste management services,2013 Q1
671,North Dakota,Administrative and waste management services,2013 Q1
"16,890",Ohio,Administrative and waste management services,2013 Q1
"5,266",Oklahoma,Administrative and waste management services,2013 Q1
"4,661",Oregon,Administrative and waste management services,2013 Q1
"15,860",Pennsylvania,Administrative and waste management services,2013 Q1
"26,020",Plains,Administrative and waste management services,2013 Q1
"1,410",Rhode Island,Administrative and waste management services,2013 Q1
"15,089",Rocky Mountain,Administrative and waste management services,2013 Q1
"7,326",South Carolina,Administrative and waste management services,2013 Q1
586,South Dakota,Administrative and waste management services,2013 Q1
"113,815",Southeast,Administrative and waste management services,2013 Q1
"63,286",Southwest,Administrative and waste management services,2013 Q1
"11,657",Tennessee,Administrative and waste management services,2013 Q1
"44,349",Texas,Administrative and waste management services,2013 Q1
"476,132",United States,Administrative and waste management services,2013 Q1
"3,752",Utah,Administrative and waste management services,2013 Q1
636,Vermont,Administrative and waste management services,2013 Q1
"13,599",Virginia,Administrative and waste management services,2013 Q1
"10,705",Washington,Administrative and waste management services,2013 Q1
"1,564",West Virginia,Administrative and waste management services,2013 Q1
"6,582",Wisconsin,Administrative and waste management services,2013 Q1
433,Wyoming,Administrative and waste management services,2013 Q1
"1,930",Alabama,"Agriculture, forestry, fishing, and hunting",2013 Q1
316,Alaska,"Agriculture, forestry, fishing, and hunting",2013 Q1
"1,433",Arizona,"Agriculture, forestry, fishing, and hunting",2013 Q1
"2,728",Arkansas,"Agriculture, forestry, fishing, and hunting",2013 Q1
"23,177",California,"Agriculture, forestry, fishing, and hunting",2013 Q1
"1,435",Colorado,"Agriculture, forestry, fishing, and hunting",2013 Q1
218,Connecticut,"Agriculture, forestry, fishing, and hunting",2013 Q1
,Delaware,"Agriculture, forestry, fishing, and hunting",2013 Q1
,District of Columbia,"Agriculture, forestry, fishing, and hunting",2013 Q1
"31,435",Far West,"Agriculture, forestry, fishing, and hunting",2013 Q1
"4,121",Florida,"Agriculture, forestry, fishing, and hunting",2013 Q1
"3,018",Georgia,"Agriculture, forestry, fishing, and hunting",2013 Q1
"20,945",Great Lakes,"Agriculture, forestry, fishing, and hunting",2013 Q1
257,Hawaii,"Agriculture, forestry, fishing, and hunting",2013 Q1
"2,268",Idaho,"Agriculture, forestry, fishing, and hunting",2013 Q1
"7,126",Illinois,"Agriculture, forestry, fishing, and hunting",2013 Q1
"4,579",Indiana,"Agriculture, forestry, fishing, and hunting",2013 Q1
"7,907",Iowa,"Agriculture, forestry, fishing, and hunting",2013 Q1
"4,113",Kansas,"Agriculture, forestry, fishing, and hunting",2013 Q1
"2,019",Kentucky,"Agriculture, forestry, fishing, and hunting",2013 Q1
"1,582",Louisiana,"Agriculture, forestry, fishing, and hunting",2013 Q1
531,Maine,"Agriculture, forestry, fishing, and hunting",2013 Q1
743,Maryland,"Agriculture, forestry, fishing, and hunting",2013 Q1
523,Massachusetts,"Agriculture, forestry, fishing, and hunting",2013 Q1
"2,682",Michigan,"Agriculture, forestry, fishing, and hunting",2013 Q1
,Mideast,"Agriculture, forestry, fishing, and hunting",2013 Q1
"5,377",Minnesota,"Agriculture, forestry, fishing, and hunting",2013 Q1
"2,041",Mississippi,"Agriculture, forestry, fishing, and hunting",2013 Q1
"3,150",Missouri,"Agriculture, forestry, fishing, and hunting",2013 Q1
"1,316",Montana,"Agriculture, forestry, fishing, and hunting",2013 Q1
"6,241",Nebraska,"Agriculture, forestry, fishing, and hunting",2013 Q1
160,Nevada,"Agriculture, forestry, fishing, and hunting",2013 Q1
,New England,"Agriculture, forestry, fishing, and hunting",2013 Q1
151,New Hampshire,"Agriculture, forestry, fishing, and hunting",2013 Q1
490,New Jersey,"Agriculture, forestry, fishing, and hunting",2013 Q1
740,New Mexico,"Agriculture, forestry, fishing, and hunting",2013 Q1
"1,858",New York,"Agriculture, forestry, fishing, and hunting",2013 Q1
"3,301",North Carolina,"Agriculture, forestry, fishing, and hunting",2013 Q1
"2,123",North Dakota,"Agriculture, forestry, fishing, and hunting",2013 Q1
"3,273",Ohio,"Agriculture, forestry, fishing, and hunting",2013 Q1
"1,688",Oklahoma,"Agriculture, forestry, fishing, and hunting",2013 Q1
"2,617",Oregon,"Agriculture, forestry, fishing, and hunting",2013 Q1
"2,330",Pennsylvania,"Agriculture, forestry, fishing, and hunting",2013 Q1
"32,339",Plains,"Agriculture, forestry, fishing, and hunting",2013 Q1
,Rhode Island,"Agriculture, forestry, fishing, and hunting",2013 Q1
"5,970",Rocky Mountain,"Agriculture, forestry, fishing, and hunting",2013 Q1
915,South Carolina,"Agriculture, forestry, fishing, and hunting",2013 Q1
"3,429",South Dakota,"Agriculture, forestry, fishing, and hunting",2013 Q1
"24,450",Southeast,"Agriculture, forestry, fishing, and hunting",2013 Q1
"9,835",Southwest,"Agriculture, forestry, fishing, and hunting",2013 Q1
"1,435",Tennessee,"Agriculture, forestry, fishing, and hunting",2013 Q1
"5,989",Texas,"Agriculture, forestry, fishing, and hunting",2013 Q1
"132,767",United States,"Agriculture, forestry, fishing, and hunting",2013 Q1
567,Utah,"Agriculture, forestry, fishing, and hunting",2013 Q1
250,Vermont,"Agriculture, forestry, fishing, and hunting",2013 Q1
"1,165",Virginia,"Agriculture, forestry, fishing, and hunting",2013 Q1
"4,921",Washington,"Agriculture, forestry, fishing, and hunting",2013 Q1
179,West Virginia,"Agriculture, forestry, fishing, and hunting",2013 Q1
"3,257",Wisconsin,"Agriculture, forestry, fishing, and hunting",2013 Q1
385,Wyoming,"Agriculture, forestry, fishing, and hunting",2013 Q1
"179,167",Alabama,All industry total,2013 Q1
"50,259",Alaska,All industry total,2013 Q1
"254,832",Arizona,All industry total,2013 Q1
"107,480",Arkansas,All industry total,2013 Q1
"2,018,111",California,All industry total,2013 Q1
"263,479",Colorado,All industry total,2013 Q1
"226,528",Connecticut,All industry total,2013 Q1
"54,891",Delaware,All industry total,2013 Q1
"103,620",District of Columbia,All industry total,2013 Q1
"2,825,157",Far West,All industry total,2013 Q1
"743,339",Florida,All industry total,2013 Q1
"421,089",Georgia,All industry total,2013 Q1
"2,134,847",Great Lakes,All industry total,2013 Q1
"69,489",Hawaii,All industry total,2013 Q1
"54,753",Idaho,All industry total,2013 Q1
"665,516",Illinois,All industry total,2013 Q1
"285,713",Indiana,All industry total,2013 Q1
"149,976",Iowa,All industry total,2013 Q1
"128,328",Kansas,All industry total,2013 Q1
"169,007",Kentucky,All industry total,2013 Q1
"212,555",Louisiana,All industry total,2013 Q1
"50,097",Maine,All industry total,2013 Q1
"316,297",Maryland,All industry total,2013 Q1
"409,215",Massachusetts,All industry total,2013 Q1
"406,254",Michigan,All industry total,2013 Q1
"2,773,848",Mideast,All industry total,2013 Q1
"280,485",Minnesota,All industry total,2013 Q1
"94,796",Mississippi,All industry total,2013 Q1
"254,069",Missouri,All industry total,2013 Q1
"38,317",Montana,All industry total,2013 Q1
"96,958",Nebraska,All industry total,2013 Q1
"119,535",Nevada,All industry total,2013 Q1
"826,242",New England,All industry total,2013 Q1
"63,931",New Hampshire,All industry total,2013 Q1
"497,408",New Jersey,All industry total,2013 Q1
"81,300",New Mexico,All industry total,2013 Q1
"1,210,530",New York,All industry total,2013 Q1
"420,348",North Carolina,All industry total,2013 Q1
"44,804",North Dakota,All industry total,2013 Q1
"516,420",Ohio,All industry total,2013 Q1
"155,664",Oklahoma,All industry total,2013 Q1
"195,136",Oregon,All industry total,2013 Q1
"591,157",Pennsylvania,All industry total,2013 Q1
"994,192",Plains,All industry total,2013 Q1
"49,553",Rhode Island,All industry total,2013 Q1
"513,570",Rocky Mountain,All industry total,2013 Q1
"169,104",South Carolina,All industry total,2013 Q1
"39,197",South Dakota,All industry total,2013 Q1
"3,273,999",Southeast,All industry total,2013 Q1
"1,863,966",Southwest,All industry total,2013 Q1
"269,517",Tennessee,All industry total,2013 Q1
"1,371,132",Texas,All industry total,2013 Q1
"15,209,883",United States,All industry total,2013 Q1
"121,830",Utah,All industry total,2013 Q1
"26,945",Vermont,All industry total,2013 Q1
"425,199",Virginia,All industry total,2013 Q1
"372,546",Washington,All industry total,2013 Q1
"63,464",West Virginia,All industry total,2013 Q1
"261,057",Wisconsin,All industry total,2013 Q1
"35,479",Wyoming,All industry total,2013 Q1
