GDP,Geography,Industry,Quarter
"4,975",Alabama,Accommodation and food services,2014 Q1
"1,237",Alaska,Accommodation and food services,2014 Q1
"8,812",Arizona,Accommodation and food services,2014 Q1
"2,553",Arkansas,Accommodation and food services,2014 Q1
"54,826",California,Accommodation and food services,2014 Q1
"8,825",Colorado,Accommodation and food services,2014 Q1
"4,853",Connecticut,Accommodation and food services,2014 Q1
"1,168",Delaware,Accommodation and food services,2014 Q1
"3,470",District of Columbia,Accommodation and food services,2014 Q1
"94,375",Far West,Accommodation and food services,2014 Q1
"33,631",Florida,Accommodation and food services,2014 Q1
"12,101",Georgia,Accommodation and food services,2014 Q1
"52,493",Great Lakes,Accommodation and food services,2014 Q1
"5,851",Hawaii,Accommodation and food services,2014 Q1
"1,502",Idaho,Accommodation and food services,2014 Q1
"16,894",Illinois,Accommodation and food services,2014 Q1
"6,512",Indiana,Accommodation and food services,2014 Q1
"3,228",Iowa,Accommodation and food services,2014 Q1
"3,146",Kansas,Accommodation and food services,2014 Q1
"4,525",Kentucky,Accommodation and food services,2014 Q1
"6,473",Louisiana,Accommodation and food services,2014 Q1
"1,810",Maine,Accommodation and food services,2014 Q1
"8,159",Maryland,Accommodation and food services,2014 Q1
"11,210",Massachusetts,Accommodation and food services,2014 Q1
"10,854",Michigan,Accommodation and food services,2014 Q1
"69,653",Mideast,Accommodation and food services,2014 Q1
"6,833",Minnesota,Accommodation and food services,2014 Q1
"3,592",Mississippi,Accommodation and food services,2014 Q1
"6,744",Missouri,Accommodation and food services,2014 Q1
"1,381",Montana,Accommodation and food services,2014 Q1
"1,982",Nebraska,Accommodation and food services,2014 Q1
"17,765",Nevada,Accommodation and food services,2014 Q1
"22,754",New England,Accommodation and food services,2014 Q1
"1,987",New Hampshire,Accommodation and food services,2014 Q1
"11,540",New Jersey,Accommodation and food services,2014 Q1
"2,422",New Mexico,Accommodation and food services,2014 Q1
"31,731",New York,Accommodation and food services,2014 Q1
"10,340",North Carolina,Accommodation and food services,2014 Q1
"1,143",North Dakota,Accommodation and food services,2014 Q1
"12,115",Ohio,Accommodation and food services,2014 Q1
"3,970",Oklahoma,Accommodation and food services,2014 Q1
"4,744",Oregon,Accommodation and food services,2014 Q1
"13,586",Pennsylvania,Accommodation and food services,2014 Q1
"24,177",Plains,Accommodation and food services,2014 Q1
"1,608",Rhode Island,Accommodation and food services,2014 Q1
"15,952",Rocky Mountain,Accommodation and food services,2014 Q1
"6,328",South Carolina,Accommodation and food services,2014 Q1
"1,102",South Dakota,Accommodation and food services,2014 Q1
"105,000",Southeast,Accommodation and food services,2014 Q1
"53,564",Southwest,Accommodation and food services,2014 Q1
"8,365",Tennessee,Accommodation and food services,2014 Q1
"38,360",Texas,Accommodation and food services,2014 Q1
"437,966",United States,Accommodation and food services,2014 Q1
"3,151",Utah,Accommodation and food services,2014 Q1
"1,286",Vermont,Accommodation and food services,2014 Q1
"10,119",Virginia,Accommodation and food services,2014 Q1
"9,951",Washington,Accommodation and food services,2014 Q1
"1,999",West Virginia,Accommodation and food services,2014 Q1
